book_id,title,author,edition,cost,status,released_date
1.0,Classical Mythology,Mark P. O. Morford,2002,9927.0,Available,8/16/1996
2.0,Clara Callan,Richard Bruce Wright,2001,1371.0,Available,7/2/1994
3.0,Decision in Normandy,Carlo D'Este,1991,10.0,Available,4/4/2004
4.0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,902.0,Available,10/4/2004
5.0,The Mummies of Urumchi,E. J. W. Barber,1999,60.0,Available,8/27/1971
6.0,The Kitchen God's Wife,Amy Tan,1991,3782.0,Available,8/21/1966
7.0,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,823.0,Available,8/7/1922
8.0,PLEADING GUILTY,Scott Turow,1993,412.0,Available,6/13/2016
9.0,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,896.0,Available,1/2/2000
10.0,Where You'll Find Me: And Other Stories,Ann Beattie,2002,20.0,Available,1/17/1954
11.0,Nights Below Station Street,David Adams Richards,1988,21.0,Available,11/11/1994
12.0,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,722.0,Available,7/16/1920
13.0,The Middle Stories,Sheila Heti,2004,614.0,Available,6/26/1929
14.0,Jane Doe,R. J. Kaiser,1999,1058.0,Available,4/15/1988
15.0,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,606.0,Available,12/7/1956
16.0,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,164.0,Available,9/28/1944
17.0,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,78.0,Available,10/19/1900
18.0,Goodbye to the Buttermilk Sky,Julia Oliver,1994,187.0,Available,10/21/1998
19.0,The Testament,John Grisham,1999,1742.0,Available,6/28/1948
20.0,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,824.0,Available,4/11/1965
21.0,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,1324.0,Available,5/9/1932
22.0,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,2193.0,Available,4/8/1908
23.0,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,8.0,Available,12/31/2009
24.0,Mary-Kate ; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate ; Ashley Olsen,2000,1233.0,Available,2/17/1960
25.0,Tell Me This Isn't Happening,Robynn Clairday,1999,434.0,Available,6/5/2002
26.0,Flood : Mississippi 1927,Kathleen Duey,1998,30.0,Available,7/24/1919
27.0,Wild Animus,Rich Shapero,2004,256.0,Available,11/13/1924
28.0,Airframe,Michael Crichton,1997,748.0,Available,5/11/1975
29.0,Timeline,MICHAEL CRICHTON,2000,1027.0,Available,10/8/1978
30.0,OUT OF THE SILENT PLANET,C.S. Lewis,1996,1289.0,Available,8/25/1941
31.0,Prague : A Novel,ARTHUR PHILLIPS,2003,1759.0,Available,12/15/1937
32.0,Chocolate Jesus,Stephan Jaramillo,1998,130.0,Available,3/29/2003
33.0,Wie Barney es sieht.,Mordecai Richler,2002,1742.0,Available,2/4/1993
34.0,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,668.0,Available,7/2/2009
35.0,Sturmzeit. Roman.,Charlotte Link,1991,3.0,Available,6/15/1988
36.0,Tage der Unschuld.,Richard North Patterson,2000,1112.0,Available,8/18/2018
37.0,Lying Awake,Mark Salzman,2000,289.0,Available,10/14/1969
38.0,To Kill a Mockingbird,Harper Lee,1988,98.0,Available,2/11/1934
39.0,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,699.0,Available,11/9/2018
40.0,Pigs in Heaven,Barbara Kingsolver,1993,1148.0,Available,9/9/2009
41.0,Miss Zukas and the Raven's Dance,Jo Dereske,1996,10.0,Available,1/1/1988
42.0,Pride and Prejudice,Jane Austen,1983,84.0,Available,10/7/1998
43.0,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,1584.0,Available,3/24/1999
44.0,Downtown,Anne Rivers Siddons,1995,3506.0,Available,6/8/1957
45.0,Icebound,Dean R. Koontz,2000,,Available,11/26/2008
46.0,I'll Be Seeing You,Mary Higgins Clark,1994,663.0,Available,2/3/1938
47.0,From the Corner of His Eye,Dean Koontz,2001,1966.0,Available,10/18/1964
48.0,Isle of Dogs,Patricia Cornwell,2002,3442.0,Available,5/17/2016
49.0,Purity in Death,J.D. Robb,2002,980.0,Available,2/8/1907
50.0,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,23.0,Available,12/16/2005
51.0,Proxies,Laura J. Mixon,1999,781.0,Available,3/5/2006
52.0,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,2247.0,Available,9/2/1998
53.0,The Street Lawyer,JOHN GRISHAM,1999,55.0,Available,5/27/1900
54.0,Love,Margret Rey,1998,83.0,Available,10/23/2011
55.0,All the King's Men,Robert Penn Warren,1982,1305.0,Available,1/2/1909
56.0,Pacific Northwest,Hans Johannes Hoefer,1985,172.0,Available,12/7/1933
57.0,A Soldier of the Great War,Mark Helprin,1992,,Available,11/20/1915
58.0,Getting Well Again,O. Carol Simonton Md,1992,171.0,Available,3/29/1905
59.0,Northwest Wines and Wineries,Chuck Hill,1993,450.0,Available,2/23/1901
60.0,An Atmosphere of Eternity: Stories of India,David Iglehart,2002,6.0,Available,7/18/1976
61.0,LONESOME DOVE,Larry McMurtry,1986,254.0,Available,7/1/1947
62.0,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,40.0,Available,2/28/1919
63.0,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,344.0,Available,7/20/2018
64.0,Lieux dits,Michel Tournier,2002,2663.0,Available,2/2/1917
65.0,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,773.0,Available,4/13/1958
66.0,The yawning heights,Aleksandr Zinoviev,1980,,Available,11/1/1944
67.0,Breathing Lessons,Anne Tyler,1994,1255.0,Available,1/20/2018
68.0,The Joy Luck Club,Amy Tan,1994,2708.0,Available,11/28/2012
69.0,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,1159.0,Available,9/25/1923
70.0,The Angel Is Near,Deepak Chopra,2000,5.0,Available,11/10/1993
71.0,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,76.0,Available,11/12/1907
72.0,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003,13.0,Available,10/31/1901
73.0,The Accidental Virgin,Valerie Frankel,2003,7.0,Available,6/13/2010
74.0,The Tao of Pooh,Benjamin Hoff,1983,7383.0,Available,11/14/1939
75.0,Seabiscuit,LAURA HILLENBRAND,2003,8.0,Available,7/11/2021
76.0,The Prince,Niccolo Machiavelli,1952,6778.0,Available,7/2/1910
77.0,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,131.0,Available,2/26/1942
78.0,Starship Troopers,Robert A. Heinlein,1987,600.0,Available,10/11/1904
79.0,The Ruby in the Smoke (Sally Lockhart Trilogy,Margret Rey,1998,3245.0,Available,3/17/2016
80.0,Black Beauty (Illustrated Classics),Anna Sewell,1995,730.0,Available,5/7/1901
81.0,Anil's Ghost,MICHAEL ONDAATJE,2000,2376.0,Available,10/21/1901
82.0,Prescription for Terror,Sandra Levy Ceren,1999,958.0,Available,3/27/2012
83.0,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990,5960.0,Available,1/14/2018
84.0,Turning Thirty,Mike Gayle,2000,1387.0,Available,9/28/2009
85.0,Decipher,Stel Pavlou,2002,450.0,Available,12/16/1930
86.0,My First Cousin Once Removed: Money,Margret Rey,1998,17.0,Available,6/3/1968
87.0,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,1994,32.0,Available,8/19/1924
88.0,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,7316.0,Available,3/31/2008
89.0,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,2003,17.0,Available,4/18/2013
90.0,Daybreakers Louis Lamour Collection,Louis Lamour,1981,13.0,Available,5/29/2013
91.0,The Catcher in the Rye,J.D. Salinger,1991,39.0,Available,5/17/1949
92.0,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,66.0,Available,9/10/2018
93.0,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001,676.0,Available,1/6/1992
94.0,El Senor De Los Anillos: El Retorno Del Rey (Tolkien,Margret Rey,1998,300.0,Available,4/20/1981
95.0,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,19.0,Available,5/21/1926
96.0,Pretend You Don't See Her,Mary Higgins Clark,1998,,Available,7/19/1967
97.0,Fast Women,Jennifer Crusie,2001,244.0,Available,1/16/1977
98.0,Female Intelligence,Jane Heller,2001,90.0,Available,3/17/1946
99.0,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,6725.0,Available,7/21/2021
100.0,The Gospel of Judas: A Novel,Simon Mawer,2002,634.0,Available,11/19/1952
101.0,Prize Stories,Margret Rey,1998,420.0,Available,1/8/1907
102.0,Rich Dad,Margret Rey,1998,97.0,Available,2/7/1942
103.0,The Pillars of the Earth,Ken Follett,1996,13.0,Available,10/22/1910
104.0,McDonald's: Behind the Arches,John F. Love,1995,308.0,Available,3/16/2012
105.0,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,1986,290.0,Available,8/25/1943
106.0,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,131.0,Available,1/19/1950
107.0,Love,Margret Rey,1998,564.0,Available,5/8/1955
108.0,The Five People You Meet in Heaven,Mitch Albom,2003,293.0,Available,10/7/1911
109.0,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,2002,10.0,Available,4/26/1942
110.0,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,721.0,Available,12/7/2000
111.0,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,10.0,Available,6/27/1972
112.0,The Touch of Your Shadow,Margret Rey,1998,59.0,Available,8/17/2016
113.0,Blood Oath,David Morrell,1994,4213.0,Available,5/29/1944
114.0,The Alibi,Sandra Brown,2000,7130.0,Available,3/5/1955
115.0,The Beach House,James Patterson,2003,1300.0,Available,10/20/2001
116.0,A Kiss Remembered,Sandra Brown,2003,66.0,Available,8/8/1906
117.0,The Short Forever,Stuart Woods,2003,9.0,Available,3/29/2020
118.0,Dead Aim,IRIS JOHANSEN,2004,40.0,Available,6/15/1993
119.0,Angels ; Demons,Dan Brown,2001,33.0,Available,7/15/1938
120.0,The Deal,Joe Hutsko,2000,837.0,Available,7/13/2020
121.0,All He Ever Wanted: A Novel,Anita Shreve,2004,285.0,Available,1/30/1980
122.0,Every Breath You Take : A True Story of Obsession,Margret Rey,1998,82.0,Available,11/2/1926
123.0,If I Ever Get Back to Georgia,Margret Rey,1998,162.0,Available,5/29/2012
124.0,The Mosquito Coast,Paul Theroux,1990,1324.0,Available,9/22/2007
125.0,If Love Were Oil,Margret Rey,1998,344.0,Available,2/14/1966
126.0,Goodbye,Margret Rey,1998,535.0,Available,3/3/1994
127.0,The Girl Who Loved Tom Gordon,Stephen King,2000,2274.0,Available,5/17/1991
128.0,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003,3.0,Available,7/9/2017
129.0,The Oneprince (The Redaemian Chronicles,Margret Rey,1998,4215.0,Available,10/12/1928
130.0,The Sum of All Fears,Tom Clancy,2002,10.0,Available,12/14/1902
131.0,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999,10.0,Available,7/14/1987
132.0,O Deus Das Pequenas Coisas,Roy,1998,,Available,12/5/1947
133.0,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,2002,1526.0,Available,9/16/2010
134.0,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,29.0,Available,2/15/2001
135.0,Little Altars Everywhere: A Novel,Rebecca Wells,1996,1229.0,Available,7/3/1990
136.0,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,1806.0,Available,8/1/1990
137.0,Before I Say Good-Bye,Mary Higgins Clark,2001,3400.0,Available,2/19/1975
138.0,Slow Waltz in Cedar Bend,Robert James Waller,1994,104.0,Available,7/9/1946
139.0,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,2001,10.0,Available,3/15/1935
140.0,Atonement : A Novel,IAN MCEWAN,2003,957.0,Available,7/18/1901
141.0,Next: The Future Just Happened,Michael Lewis,2001,2723.0,Available,9/16/1928
142.0,The Angelic Darkness,Richard Zimler,1999,115.0,Available,5/8/1918
143.0,The Soulbane Stratagem,Norman Jetmundsen,2000,8.0,Available,2/29/1960
144.0,Gangster,Lorenzo Carcaterra,2002,790.0,Available,12/21/1965
145.0,Hush,Anne Frasier,2002,1950.0,Available,1/29/2003
146.0,Whisper of Evil (Hooper,Margret Rey,1998,1791.0,Available,1/1/1984
147.0,Temor y Temblor,Soren Kierkegaard,2001,191.0,Available,12/29/2019
148.0,Estudios sobre el amor,Jose Ortega Y Gaset,2001,160.0,Available,11/13/2014
149.0,Rebecca,Daphne Du Maurier,1994,1425.0,Available,10/21/1971
150.0,Scarlet Letter,Nathaniel Hawthorne,1993,697.0,Available,7/29/1973
151.0,Keep It Simple: And Get More Out of Life,Nick Page,1999,1276.0,Available,8/30/1952
152.0,Diary of a Mad Mom-To-Be,Laura Wolf,2003,48.0,Available,12/12/2008
153.0,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986,2277.0,Available,10/7/1909
154.0,Contact,Susan Grant,2002,15.0,Available,4/9/1938
155.0,The Brimstone Wedding,Barbara Vine,1997,75.0,Available,5/12/1928
156.0,The Catswold Portal,Shirley Rousseau Murphy,1993,100.0,Available,6/10/1985
157.0,Through Wolf's Eyes (Wolf),Jane Lindskold,2002,60.0,Available,6/30/1926
158.0,Puerto Vallarta Squeeze,Robert James Waller,1995,166.0,Available,7/7/2010
159.0,Tree Grows In Brooklyn,Betty Smith,1988,638.0,Available,1/6/1922
160.0,Cybill Disobedience: How I Survived Beauty Pageants,Margret Rey,1998,23.0,Available,8/27/1900
161.0,Snow Angels,Stewart O'Nan,1995,678.0,Available,10/14/1950
162.0,Wish You Well,David Baldacci,2000,112.0,Available,8/17/2000
163.0,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,,Available,4/23/2015
